n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,knob_I_B,knob_DATA_BLOCK,obj1,obj2
0,1024,1,1,1,1,1,0,1048576,7.22904,2413.418
1,1024,1,1,1,1,1,0,524288,7.360165,2493.75
2,1024,1,1,1,1,1,0,262144,7.358015,2569.294
3,1024,1,1,1,1,1,0,131072,7.450447,2718.254
4,1024,1,1,1,1,1,0,65536,7.59017,3068.576
5,1024,1,1,1,1,1,0,32768,7.772884,3684.1
6,1024,1,1,1,1,2,0,1048576,9.598692,2362.878
7,1024,1,1,1,1,2,0,524288,9.754506,2424.59
8,1024,1,1,1,1,2,0,262144,9.754506,2500.134
9,1024,1,1,1,1,2,0,131072,9.813608,2649.892
10,1024,1,1,1,1,2,0,65536,9.972109,2991.17
11,1024,1,1,1,1,2,0,32768,10.444924,3643.136
12,1024,1,1,1,1,4,0,1048576,8.131789,2405.438
13,1024,1,1,1,1,4,0,524288,8.279288,2484.174
14,1024,1,1,1,1,4,0,262144,8.28896,2558.122
15,1024,1,1,1,1,4,0,131072,8.380844,2706.284
16,1024,1,1,1,1,4,0,65536,8.538015,3048.892
17,1024,1,1,1,1,4,0,32768,8.968422,3689.952
18,1024,1,1,1,1,8,0,1048576,7.680414,2407.034
19,1024,1,1,1,1,8,0,524288,7.819726,2486.568
20,1024,1,1,1,1,8,0,262144,7.828861,2561.846
21,1024,1,1,1,1,8,0,131072,7.915646,2710.806
22,1024,1,1,1,1,8,0,65536,8.064093,3060.862
23,1024,1,1,1,1,8,0,32768,8.244513,3686.494
24,1024,1,1,1,1,16,0,1048576,7.454727,2408.896
25,1024,1,1,1,1,16,0,524288,7.589945,2488.43
26,1024,1,1,1,1,16,0,262144,7.598812,2563.708
27,1024,1,1,1,1,16,0,131072,7.683046,2712.668
28,1024,1,1,1,1,16,0,65536,7.827131,3056.872
29,1024,1,1,1,1,16,0,32768,8.01555,3684.632
30,1024,1,1,1,2,1,0,1048576,7.227277,2422.994
31,1024,1,1,1,2,1,0,524288,7.35837,2503.592
32,1024,1,1,1,2,1,0,262144,7.35622,2577.008
33,1024,1,1,1,2,1,0,131072,7.435736,2726.766
34,1024,1,1,1,2,1,0,65536,7.629151,3062.458
35,1024,1,1,1,2,1,0,32768,7.770988,3689.686
36,1024,1,1,1,2,2,0,1048576,9.45715,2366.868
37,1024,1,1,1,2,2,0,524288,9.698884,2436.294
38,1024,1,1,1,2,2,0,262144,9.661281,2502.528
39,1024,1,1,1,2,2,0,131072,9.757974,2654.68
40,1024,1,1,1,2,2,0,65536,10.142062,2994.362
41,1024,1,1,1,2,2,0,32768,10.375738,3641.274
42,1024,1,1,1,2,4,0,1048576,8.130025,2411.822
43,1024,1,1,1,2,4,0,524288,8.277493,2491.09
44,1024,1,1,1,2,4,0,262144,8.287162,2562.378
45,1024,1,1,1,2,4,0,131072,8.379027,2710.274
46,1024,1,1,1,2,4,0,65536,8.536164,3055.276
47,1024,1,1,1,2,4,0,32768,8.741651,3685.164
48,1024,1,1,1,2,8,0,1048576,7.678651,2414.748
49,1024,1,1,1,2,8,0,524288,7.817931,2494.282
50,1024,1,1,1,2,8,0,262144,7.827064,2564.772
51,1024,1,1,1,2,8,0,131072,7.913829,2712.934
52,1024,1,1,1,2,8,0,65536,8.062241,3057.936
53,1024,1,1,1,2,8,0,32768,8.25632,3692.08
54,1024,1,1,1,2,16,0,1048576,7.452964,2416.876
55,1024,1,1,1,2,16,0,524288,7.58815,2496.41
56,1024,1,1,1,2,16,0,262144,7.597015,2566.9
57,1024,1,1,1,2,16,0,131072,7.681229,2715.062
58,1024,1,1,1,2,16,0,65536,7.82528,3057.936
59,1024,1,1,1,2,16,0,32768,8.024735,3690.75
60,1024,1,1,1,4,1,0,1048576,7.229922,2424.856
61,1024,1,1,1,4,1,0,524288,7.361062,2504.922
62,1024,1,1,1,4,1,0,262144,7.358912,2577.806
63,1024,1,1,1,4,1,0,131072,7.438457,2727.564
64,1024,1,1,1,4,1,0,65536,7.591095,3069.374
65,1024,1,1,1,4,1,0,32768,7.773832,3691.016
66,1024,1,1,1,4,2,0,1048576,9.035419,2384.424
67,1024,1,1,1,4,2,0,524288,9.199308,2472.204
68,1024,1,1,1,4,2,0,262144,9.210055,2537.374
69,1024,1,1,1,4,2,0,131072,9.31215,2685.536
70,1024,1,1,1,4,2,0,65536,9.486787,3028.942
71,1024,1,1,1,4,2,0,32768,9.715157,3667.874
72,1024,1,1,1,4,4,0,1048576,8.246329,2403.842
73,1024,1,1,1,4,4,0,524288,8.389008,2467.682
74,1024,1,1,1,4,4,0,262144,8.391426,2540.566
75,1024,1,1,1,4,4,0,131072,8.451883,2687.132
76,1024,1,1,1,4,4,0,65536,8.630836,3027.08
77,1024,1,1,1,4,4,0,32768,8.833971,3673.46
78,1024,1,1,1,4,8,0,1048576,7.681296,2425.92
79,1024,1,1,1,4,8,0,524288,7.820624,2512.636
80,1024,1,1,1,4,8,0,262144,7.82976,2578.87
81,1024,1,1,1,4,8,0,131072,7.916554,2727.032
82,1024,1,1,1,4,8,0,65536,8.20663,3064.852
83,1024,1,1,1,4,8,0,32768,8.245459,3702.454
84,1024,1,1,1,4,16,0,1048576,7.455609,2433.634
